53, 343.2
54, 342.9
55, 342.6
56, 342.2
57, 341.8
58, 341.5
59, 341.0
60, 340.6
61, 340.0
62, 339.5
63, 338.9
64, 338.3
65, 337.6
66, 336.7
67, 335.9
68, 334.9
69, 333.9
70, 332.6
71, 331.3
72, 329.8
73, 328.0
74, 326.0
75, 323.6
76, 320.7
77, 317.3
78, 313.0
79, 307.4
80, 299.6
81, 285.5
